Submarket,City,MSA,DP02_0001E_2010,DP02_0043E_2010,DP02_0044E_2010,DP02_0058E_2010,DP02_0059E_2010,DP02_0060E_2010,DP02_0061E_2010,DP02_0062E_2010,DP02_0063E_2010,DP02_0064E_2010,DP02_0065E_2010,DP02_0068E_2010,DP02_0069E_2010,DP03_0001E_2010,DP03_0002E_2010,DP03_0003E_2010,DP03_0004E_2010,DP03_0005E_2010,DP03_0007E_2010,DP03_0008E_2010,DP03_0010E_2010,DP03_0014E_2010,DP03_0015E_2010,DP03_0016E_2010,DP03_0018E_2010,DP03_0019E_2010,DP03_0020E_2010,DP03_0021E_2010,DP03_0022E_2010,DP03_0023E_2010,DP03_0024E_2010,DP03_0025E_2010,DP03_0026E_2010,DP03_0028E_2010,DP03_0029E_2010,DP03_0051E_2010,DP03_0052E_2010,DP03_0053E_2010,DP03_0054E_2010,DP03_0055E_2010,DP03_0056E_2010,DP03_0062E_2010,DP03_0063E_2010,DP03_0065E_2010,DP03_0074E_2010,DP03_0095E_2010,DP03_0096E_2010,DP03_0097E_2010,DP03_0098E_2010,DP03_0099E_2010,DP03_0119E_2010,DP03_0057E_2010,DP03_0058E_2010,DP03_0059E_2010,DP03_0060E_2010,DP03_0061E_2010,DP04_0001E_2010,DP04_0002E_2010,DP04_0007E_2010,DP04_0008E_2010,DP04_0009E_2010,DP04_0010E_2010,DP04_0011E_2010,DP04_0012E_2010,DP04_0013E_2010,DP04_0017E_2010,DP04_0018E_2010,DP04_0024E_2010,DP04_0025E_2010,DP04_0038E_2010,DP04_0039E_2010,DP04_0040E_2010,DP04_0041E_2010,DP04_0042E_2010,DP04_0043E_2010,DP04_0046E_2010,DP04_0048E_2010,DP04_0124E_2010,DP04_0134E_2010,DP04_0135E_2010,DP04_0136E_2010,DP04_0137E_2010,DP04_0138E_2010,DP04_0139E_2010,DP04_0140E_2010,DP04_0141E_2010,Pop2010,DP05_0008E_2010,DP05_0009E_2010,DP05_0018E_2010,DP05_0021E_2010,DP05_0060E_2010,DP05_0061E_2010,DP05_0062E_2010,DP05_0063E_2010,DP05_0064E_2010,DP05_0065E_2010,DP05_0066E_2010,DP05_0071E_2010,DP05_0072E_2010,DP02_0001E_2022,DP02_0016E_2022,DP02_0017E_2022,DP02_0044E_2022,DP02_0045E_2022,DP02_0059E_2022,DP02_0060E_2022,DP02_0061E_2022,DP02_0062E_2022,DP02_0063E_2022,DP02_0064E_2022,DP02_0065E_2022,DP02_0066E_2022,DP02_0067E_2022,DP02_0068E_2022,DP02_0069E_2022,DP02_0070E_2022,DP03_0002E_2022,DP03_0007E_2022,DP03_0009E_2022,DP03_0011E_2022,DP03_0015E_2022,DP03_0017E_2022,DP03_0018E_2022,DP03_0019E_2022,DP03_0020E_2022,DP03_0021E_2022,DP03_0022E_2022,DP03_0023E_2022,DP03_0024E_2022,DP03_0025E_2022,DP03_0028E_2022,DP03_0029E_2022,DP03_0052E_2022,DP03_0053E_2022,DP03_0054E_2022,DP03_0055E_2022,DP03_0056E_2022,DP03_0058E_2022,DP03_0059E_2022,DP03_0060E_2022,DP03_0061E_2022,DP03_0062E_2022,DP03_0063E_2022,DP03_0074E_2022,DP03_0095E_2022,DP03_0096E_2022,DP03_0097E_2022,DP03_0098E_2022,DP03_0099E_2022,DP03_0119E_2022,DP04_0001E_2022,DP04_0002E_2022,DP04_0007E_2022,DP04_0008E_2022,DP04_0009E_2022,DP04_0010E_2022,DP04_0011E_2022,DP04_0012E_2022,DP04_0013E_2022,DP04_0017E_2022,DP04_0018E_2022,DP04_0025E_2022,DP04_0026E_2022,DP04_0039E_2022,DP04_0040E_2022,DP04_0041E_2022,DP04_0042E_2022,DP04_0043E_2022,DP04_0044E_2022,DP04_0047E_2022,DP04_0136E_2022,DP04_0137E_2022,DP04_0138E_2022,DP04_0139E_2022,DP04_0140E_2022,DP04_0141E_2022,DP04_0142E_2022,DP04_0143E_2022,Pop2022,DP05_0009E_2022,DP05_0010E_2022,DP05_0018E_2022,DP05_0019E_2022,DP05_0021E_2022,DP05_0024E_2022,DP05_0067E_2022,DP05_0068E_2022,DP05_0069E_2022,DP05_0070E_2022,DP05_0071E_2022,DP05_0073E_2022,DP05_0079E_2022,Inventory_Aff_2010,Inventory_Aff_2017,Inventory_Aff_2023,Inventory_WF_2010,Inventory_WF_2017,Inventory_WF_2023,Inventory_MR_2010,Inventory_MR_2017,Inventory_MR_2023,Inventory_WF+MR_2010,Inventory_WF+MR_2017,Inventory_WF+MR_2023,New Builds_Aff_2010-16,New Builds_Aff_2017-23,New Builds_Aff_2010-23,New Builds_Aff_2024-25,New Builds_WF_2010-16,New Builds_WF_2017-23,New Builds_WF_2010-23,New Builds_WF_2024-25,New Builds_MR_2010-16,New Builds_MR_2017-23,New Builds_MR_2010-23,New Builds_MR_2024-25,New Builds_WF+MR_2010-16,New Builds_WF+MR_2017-23,New Builds_WF+MR_2010-23,New Builds_WF+MR_2024-25,Unnamed: 0,DP03_0057E_2022,Median_Income_2010,Total Incomers,segment 1,segment 2,segment 3,segment 4,segment 5,segment 6,segment 7,segment 8,segment 9,Median_Income_2022,PopGrowth,Housing2010_Inventory_Aff_2010,Housing2010_Inventory_WF_2010,Housing2010_Inventory_MR_2010,Housing2010_Inventory_WF+MR_2010,Housing2010_New Builds_Aff_2010-16,Housing2010_New Builds_Aff_2010-23,Housing2010_New Builds_WF_2010-16,Housing2010_New Builds_WF_2010-23,Housing2010_New Builds_MR_2010-16,Housing2010_New Builds_MR_2010-23,Housing2010_New Builds_WF+MR_2010-16,Housing2010_New Builds_WF+MR_2010-23,Housing2023_Inventory_Aff_2023,Housing2023_Inventory_WF_2023,Housing2023_Inventory_MR_2023,Housing2023_Inventory_WF+MR_2023,Black_2010,American_Indian_Alaskan_2010,Asian_2010,Pacific_Islander_2010,Other_Race_2010,None_2010,Hispanic_or_Latino_2010,White_Alone_2010,Bach_Plus_Count_2010,Bachelors_Plus_2010
college_park_hartsfield_jackson_international,Atlanta,Atlanta,26179,2243,852,43113,2238,4235,14273,10473,2484,6389,3021,50011,4473,52573,37692,37514,32348,5166,14881,37514,28126,5738,4322,12608,31633,22316,3832,3768,477,604,636,-666666333,32348,6535,10263,26179,2728,1549,3313,3410,5065,-666239068,-666142937,-666129904,4159,-10666666656,-10666666656,-10666666656,-10666666656,-10666666656,-10666666656,4835,2824,1824,393,238,33194,26179,16502,1687,418,1110,5024,5538,2547,3898,6121,591,296,425,4279,9052,13389,5119,930,12622,-666666640,12376,11993,1035,1207,1427,1292,974,6058,629,70549,5392,13102,50189,3883,59568,498,1032,0,3169,70549,5291,65258,4956,22625,-666666633,-666666619,1321,332,36239,992,2776,12491,7263,3854,5816,3047,32471,8863,41729,2697,29593,13962,-15111111096,16334,3382,8298,26304,18122,2647,2361,283,715,2176,-666666206,5357,7300,1300,678,2478,2920,3967,2871,2962,717,610,-665852414,-665650895,6083,56271,47346,28211,24160,8925,-15111111096,25256,22625,13715,915,107,594,3602,4506,1736,28,2550,450,469,515,3019,6877,10436,3908,501,12132,11754,1272,865,1200,1113,1458,5846,378,56850,4361,11030,-666666128,15014,41836,5815,51389,215,759,18,3079,2676,1879,1900,1900,1900,3018,3018,3018,9560,10076,11140,12578,13094,14158,0,0,0,0,0,0,0,0,516,1626,2142,0,516,1626,2142,0,52,4122,41188.055281342546,22625,0.057458563535911604,0.087425414,0.1969502762430939,0.3260110497237569,0.5013480662983425,0.683535912,0.8104309392265193,0.9413480662983426,0.9730386740331491,49884.67355684397,-1141.583333,2.693163616776992,4.277877787069979,13.550865355993707,17.828743143063686,0,0,0,0,0.7314065401352252,3.0361876142822717,0.7314065401352252,3.0361876142822717,0.033421284,0.053087071,0.1959542656112577,0.24904133685136323,0.8443493174956413,0.007058924,0.014628130802704503,0,0.044919134,1,0.074997519,0.070249047,9410,0.21826363277897617
grant_park_east_atlanta_panthersville,Atlanta,Atlanta,21061,1612,647,36510,1767,3591,9813,7063,2306,7422,4548,40736,3481,42096,28844,28793,25155,3638,13252,28793,22719,4333,3195,7343,24349,18235,2376,1981,434,291,1032,371,25155,3978,6333,21061,2122,1083,2489,2170,2877,673578,835680,854570,2505,-11555555544,-11555555544,-11555555544,-11555555544,-11555555544,-11555555544,3607,2493,2727,906,587,24599,21061,17888,1196,763,951,1481,1279,1006,1431,2018,1629,3500,267,1928,6477,11148,3922,857,6373,31,6016,5800,489,486,850,645,448,2882,573,53252,3494,9453,40787,5202,40711,390,959,82,674,53252,1742,51510,10288,22746,28,41,834,440,40902,687,2314,8485,6840,2677,11734,8165,37901,19899,44044,3010,31458,13396,-13333333320,15436,2936,5072,28801,17812,1960,1346,268,744,6671,482,4763,4913,1182,838,1179,1839,2991,2536,3348,2333,3543,1240082,1624184,2972,54282,48674,37299,16526,5608,-13333333320,26313,22746,17504,1602,779,427,1392,1667,2799,222,2570,1588,3503,423,3144,6362,10356,5108,920,7686,7270,1096,647,1039,892,341,3255,416,54550,2156,10438,577,10454,44096,7893,33996,703,2205,52,2037,2483,15597,1500,1500,2288,440,440,440,4596,5840,8622,5036,6280,9062,0,788,788,104,0,0,0,0,1244,3812,5056,0,1244,3812,5056,0,58,2957,48902.50260688216,22746,0.051965181,0.088806823,0.14064011254726105,0.22148949265804976,0.35298514024443856,0.4829860195199156,0.5944781500043964,0.7416688648553592,0.8442363492482194,78815.06309148265,108.16666666666667,2.816795613310298,0.8262600465710208,8.630661759182754,9.456921805753774,0,1.479756629,0,0,2.336062495305341,9.494479080597912,2.336062495305341,9.494479080597912,0.041943171402383135,0.008065995,0.15805682859761686,0.16612282309807516,0.764497108,0.007323669,0.018008713,0.001539848,0.012656801622474274,1,0.032712386,0.19319462179824232,11970,0.3278553820870994
chandler_mcafee_west_belvedere_park,Atlanta,Atlanta,23533,2535,1390,41723,2593,5082,12989,8607,1969,6797,3686,46967,3825,48604,32719,32703,27728,4975,15885,32703,27030,3917,2897,6779,26960,19168,2344,3481,400,665,902,555,27728,6129,6809,23533,2498,1853,3320,2622,3298,783039,965729,1005419,3735,-15999999984,-15999999984,-15999999984,-15999999984,-15999999984,-15999999984,4483,2208,2246,748,257,28617,23533,19302,1175,734,1211,2857,1623,1465,1104,2463,2796,3279,460,2616,9450,11964,3581,546,9353,39,8920,8767,886,932,850,966,830,4303,586,59355,3974,10280,46983,6323,47109,220,843,3,657,59355,1463,57892,10088,26090,-666666626,-666666613,1642,797,47487,1299,2586,10577,7496,4094,12127,9308,43602,21435,51898,3047,37288,15702,-17777777760,19447,2914,4841,33439,20390,2153,2351,313,921,7311,-666666080,5462,6450,1601,877,2270,1836,2592,3094,4282,2357,3534,-665146144,-664651135,4176,63655,57331,42390,21127,6324,-17777777760,30805,26090,19685,2241,589,1158,1346,1231,4268,563,3070,2552,3304,589,3340,8181,12190,5841,664,10075,9678,1136,1043,1283,1015,951,4250,397,63978,2997,12731,-666665967,12071,51907,8898,39469,871,1372,145,2862,2979,19568,1648,1928,3036,1308,1308,1308,6068,6428,9484,7376,7736,10792,280,1108,1388,0,0,0,0,0,360,3280,3640,0,360,3280,3640,0,51,3647,41701.788963007886,26090,0.061364507,0.094978919,0.18198543503257952,0.2523572249904178,0.351705634,0.4914909927175163,0.6100804906094289,0.7742046761211192,0.8645458029896512,76793.79444085326,385.25,2.776514194254907,2.203689663886783,10.22323308904052,12.426922752927302,0.4717378485384551,2.3384719063263413,0,0,0.6065200909780136,6.132592030999915,0.6065200909780136,6.132592030999915,0.047453812247960234,0.020444527806433462,0.1482384569695833,0.16868298477601676,0.7936820823856456,0.003706512,0.014202678797068486,5.054334091483447e-05,0.011068992,1,0.024648302586134277,0.16996040771628337,10483,0.25125230688109673
harwell_heights,Atlanta,Atlanta,24108,2210,1073,39136,2385,4578,12651,8174,1712,5997,3639,45248,3556,47380,31367,31301,27490,3811,16013,31301,27327,6493,4272,10340,26838,18930,3060,3244,200,339,1065,381,27490,5178,7378,24108,3293,2094,3448,3193,3636,393082,510956,517749,4493,-10666666656,-10666666656,-10666666656,-10666666656,-10666666656,-10666666656,3713,2009,1972,401,349,29083,24108,14489,2030,288,843,3234,4484,2914,2295,4751,602,466,185,2554,10473,11023,3584,1264,11540,27,11272,10921,961,731,875,858,1272,6224,619,64020,4623,9925,45314,6442,53410,313,198,11,5652,64020,7349,56671,3269,20584,31,43,1550,988,34657,1547,3085,11049,5414,2288,6685,4589,30025,11274,40303,2625,25631,16116,-12444444432,14464,2797,6691,23114,14471,2332,2338,320,1143,2510,484,4674,5146,1976,1650,2141,1620,2638,2671,1613,1567,1074,-665978944,971247,5451,53182,43160,26502,22422,10022,-12444444432,23068,20584,12390,1283,229,1051,2346,2546,2082,116,988,577,391,218,2294,5774,9759,3892,1131,10366,9701,965,1197,1202,1073,554,4710,665,53274,3827,6287,538,12971,40303,7729,45611,292,677,95,3327,5891,1978,4078,4258,5010,2456,2456,2456,3168,3168,3368,5624,5624,5824,180,752,932,0,0,0,0,0,0,200,200,0,0,200,200,0,59,3634,35107.26072607261,20584,0.095996891,0.17615623785464438,0.2801690633501749,0.3588709677419355,0.48702876020209873,0.6635736494364555,0.7933346288379324,0.8716964632724447,0.9478235522736106,51836.81893,-895.5,6.369884411121525,3.8363011558887847,4.948453608247423,8.784754764136208,0.28116213683223995,1.4557950640424868,0,0,0,0.3124023742580444,0,0.3124023742580444,0.094042122,0.046101287682546836,0.063220333,0.10932162030258663,0.8342705404561075,0.004889097,0.003092784,0.000171821,0.088284911,1,0.1147922524211184,0.051062168,9636,0.24621831561733443
bankhead,Atlanta,Atlanta,14499,901,481,24164,1237,3105,7111,4193,698,4822,2998,27869,1911,29204,19422,19411,16154,3257,9782,19411,16035,4619,3711,6308,15484,9981,1662,2497,229,185,930,311,16154,2802,4160,14499,2615,1346,1915,1429,1541,325719,457911,490233,3634,-7999999992,-7999999992,-7999999992,-7999999992,-7999999992,-7999999992,1518,1109,1373,618,1035,19395,14499,11582,721,864,774,1982,1242,2215,1434,3739,993,1108,148,1283,6970,7266,2593,1135,6839,22,6595,6411,554,545,575,696,454,3587,428,39535,2628,6705,27880,3655,29698,162,932,0,894,39535,1396,38139,7463,13698,21,30,692,140,22733,436,1994,5884,3875,1526,6484,2534,20303,9018,25433,2045,16307,9860,-9777777768,8143,1910,3616,14811,9697,955,707,95,383,2974,359,2828,3014,1622,1075,1059,1216,1165,1790,1164,985,1723,-1332622238,976072,3286,32914,28375,19428,12329,4539,-9777777768,16387,13698,10257,1055,501,423,1103,995,1967,220,1710,1052,1160,330,1648,4373,6891,2550,595,6282,5895,375,585,678,706,703,2848,387,33350,2061,6192,386,7887,25463,3860,24498,362,1295,0,1378,2246,5540,1754,1956,2888,1538,1538,1538,2130,2548,2768,3668,4086,4306,202,1218,1420,0,0,0,0,0,418,220,638,0,418,220,638,0,46,1899,34611.61651504548,13698,0.11841144692655863,0.19689005694261935,0.2742006132282085,0.36297269674405025,0.4480216089940137,0.586654986,0.7173309972258723,0.8023069061176814,0.8742152138998394,59373.35439705108,-515.4166667,4.436575186543569,3.8902238522827877,5.3876312128493735,9.277855065132162,0.510939674,3.5917541418995826,0,0,1.0572910079676237,1.6137599595295309,1.0572910079676237,1.6137599595295309,0.086596702,0.046116942,0.082998501,0.12911544227886057,0.751182497,0.004097635,0.023574048311622613,0,0.022612874668015683,1,0.035310484,0.1887694447957506,7820,0.3236219169011753
midtown_west_centennial_place,Atlanta,Atlanta,8948,264,161,16153,777,2273,4015,2956,900,3372,1860,32594,1794,33112,15596,15596,13907,1689,17516,15596,11394,1291,849,2349,13402,6038,944,2329,2803,236,1052,279,13907,2378,3298,8948,1759,702,1221,1205,1328,353454,500424,543888,1638,-9777777768,-9777777768,-9777777768,-9777777768,-9777777768,-9777777768,1116,664,542,224,187,13395,8948,3309,417,598,824,1762,1341,4987,1485,3156,934,1852,869,3968,5345,2122,768,323,6836,17,6577,6399,621,563,568,841,728,3078,437,36702,9344,6108,32594,1280,18769,529,4031,35,569,36702,1304,35398,12566,14545,23,37,524,394,21919,285,1665,4839,2910,1230,5810,5180,19969,10990,37945,943,21913,16600,-12444444432,9286,712,1690,19746,8389,1061,1698,2600,715,5283,340,2419,3589,1614,777,1105,949,1806,1802,2210,997,1149,845104,1091881,2272,39512,35559,30513,6711,3953,-12444444432,17531,14545,3126,477,408,692,1264,1285,10232,534,4286,542,1197,1449,6092,6121,2607,1028,234,10509,9823,718,944,1199,1248,823,4891,686,41595,11067,9004,442,3585,38010,2027,20722,662,6219,25,1589,2578,12271,180,180,584,696,696,696,8100,9724,12502,8796,10420,13198,0,404,404,0,0,0,0,0,1624,4426,6050,740,1624,4426,6050,740,69,2136,31572.61410788382,14545,0.1109659676864902,0.16438638707459607,0.24035751117222412,0.30560330010312825,0.42976968030250945,0.5766242695084222,0.7005156411137848,0.8524578893090409,0.9210037813681677,61955.75842696629,407.75,0.4904364884747425,1.8963544221023378,22.069641981363414,23.965996403465752,0,1.1007574519099776,0,0,4.4248269849054545,16.484115307067736,4.4248269849054545,16.484115307067736,0.014040149056376969,0.016732780382257482,0.30056497175141245,0.3172977521336699,0.5113890251212468,0.014413383466841043,0.10983052694676039,0.000953627,0.015503242330118249,1,0.035529399,0.3423791618985341,5232,0.3239026806166037
midtown_south,Atlanta,Atlanta,12096,93,30,14812,263,455,1269,2497,747,5488,4093,17545,1156,17624,13954,13938,13183,755,3670,13938,7127,269,251,304,12986,8115,680,1200,1523,301,1167,107,13183,1448,2773,12096,1162,570,998,1086,1586,291644,393018,396356,554,-4444444440,-4444444440,-4444444440,-4444444440,-4444444440,-4444444440,1931,1588,1693,768,714,14533,12096,1203,689,290,781,1080,1638,8813,899,2699,702,2814,1435,7053,4900,834,288,23,6705,5,6574,6435,851,785,850,1228,540,2181,270,18222,2554,5577,17561,1084,4260,143,1921,0,194,18222,771,17451,11323,18231,10,19,24,24,22197,252,364,1871,2070,932,8721,7987,21581,16708,25456,770,20779,4761,-8888888880,8208,749,618,19641,9396,328,1209,1920,1013,5775,223,1522,2600,1318,794,690,933,982,1810,3694,2193,3182,943004,1259531,1300,26593,24928,22057,4091,1665,-8888888880,19564,18231,1341,509,161,909,1309,813,14475,79,3781,277,2572,2074,9524,6352,790,530,294,10393,10196,1605,1394,1539,1344,833,3481,197,27151,2887,9115,356,1681,25470,2206,6338,354,2118,0,1221,2106,16948,1268,1268,1566,0,0,0,5410,6488,6488,5410,6488,6488,0,298,298,0,0,0,0,0,1078,0,1078,0,1078,0,1078,0,68,2635,58363.542206110826,18231,0.072294444,0.11584663485272338,0.1536942570347211,0.20487082441994406,0.25873512149635236,0.40326915693050297,0.5025506006253085,0.705172508,0.8254621249520048,99357.73480662983,744.0833333333334,6.958621446603007,0,29.689386455932386,29.689386455932386,0,1.6353857973877732,0,0,5.915925803973219,5.915925803973219,5.915925803973219,5.915925803973219,0.057677433612021656,0,0.2389598909800744,0.2389598909800744,0.23378333882120514,0.007847657,0.1054220173416749,0,0.010646471298430469,1,0.042311492,0.6213917242893205,9581,0.6468403996759384
martin_luther_king_historic_district,Atlanta,Atlanta,4607,69,20,6060,118,400,1094,753,207,2273,1215,7036,269,7180,5462,5454,5068,386,1718,5454,4150,642,548,473,4864,3392,291,370,268,172,371,99,5068,630,1279,4607,833,326,385,421,421,175788,265550,277894,475,-3555555552,-3555555552,-3555555552,-3555555552,-3555555552,-3555555552,702,425,463,259,372,6179,4607,1337,371,296,312,725,711,2427,706,1574,567,1461,574,2249,2067,885,249,155,2899,4,2860,2746,379,252,351,320,317,1127,153,8551,873,2267,7044,528,3707,136,280,30,94,8551,167,8384,4223,9325,8,14,11,0,12490,147,488,828,1093,418,5055,4461,11855,9516,17255,328,11853,5670,-6222222216,5642,736,557,11303,6135,412,208,600,553,3395,169,880,1616,931,533,403,216,508,1191,1918,1184,1667,-666109458,796452,877,18883,17751,15833,2964,1132,-6222222216,10294,9325,1318,774,211,330,310,746,6605,145,3217,156,1253,987,4030,3317,1050,687,223,6553,6251,1081,1057,1239,754,457,1663,302,19069,3077,6153,205,1762,17307,1330,5968,130,2073,0,668,798,10020,2534,2694,3492,0,0,0,3050,6396,6890,3050,6396,6890,160,1032,1192,0,0,0,0,0,3346,1212,4558,0,3346,1212,4558,0,66,774,47060.57007125891,9325,0.099839142,0.15699731903485253,0.20021447721179625,0.2233780160857909,0.27785522788203754,0.360857909,0.4885790884718499,0.6942627345844504,0.8212332439678284,102776.32950990615,876.5,29.633960940240904,0,35.66834288387323,35.66834288387323,1.8711261840720381,13.939890071336686,0,0,39.12992632,53.30370716875219,39.12992632,53.30370716875219,0.18312444281294246,0,0.36131941895222613,0.36131941895222613,0.4335165477721904,0.015904572564612324,0.032744708221260674,0.003508362,0.010992866331423226,1,0.01952988,0.4938603672085136,3488,0.5755775577557756
avondale_estates_east_belvedere_park,Atlanta,Atlanta,15513,1302,618,28656,1159,3435,9200,6814,2181,3824,2043,33445,2506,35273,23513,23513,19193,4320,11760,23513,17761,2986,2111,6791,18615,12711,1766,2994,154,239,751,-999999665,19193,3771,5723,15513,1331,1018,1860,1945,2749,-666211809,-999454639,-999454570,2669,-9777777768,-9777777768,-9777777768,-9777777768,-9777777768,-9777777768,3324,1786,972,357,171,17767,15513,11048,1088,124,748,2007,1590,1129,660,954,861,314,219,1777,5175,7076,2908,612,6881,26,6811,6704,426,639,658,654,769,3558,177,44551,3158,6928,33445,3220,34933,145,738,0,921,44551,1799,42752,7140,14266,-666666640,-666666632,1391,491,28763,1167,1843,8921,5538,1823,5765,3706,25753,9471,32148,2101,20942,12467,-10666666656,10657,2015,3693,18753,11389,2081,2386,202,417,2278,-666666302,3422,4947,718,846,1509,1689,1947,1573,1847,976,768,-666031766,-665762141,3041,38792,32337,22266,13540,6455,-10666666656,17271,14266,10759,1472,105,957,1542,1416,949,36,519,383,315,218,1882,3952,7318,3349,552,6102,5792,626,625,711,357,455,3018,310,40617,2515,6914,446,8456,32161,4916,29122,406,2611,49,2130,1546,7074,456,644,644,1140,1140,1140,8148,8148,8336,9288,9288,9476,188,0,188,0,0,0,0,0,0,188,188,0,0,188,188,0,45,2393,43744.08875954893,14266,0.050329455,0.10963129118183093,0.2154072620215898,0.33380064488994815,0.47027898499929904,0.6380204682461798,0.7482826300294406,0.8777512967895696,0.9461657086779756,54429.58629335562,-327.8333333,1.023546048349083,2.558865120872708,18.28915175865862,20.848016879531322,0.42198828309128866,0.42198828309128866,0,0,0,0.42198828309128866,0,0.42198828309128866,0.015855429992367727,0.028067065514439767,0.20523426151611393,0.2333013270305537,0.7841125900653184,0.003254697,0.016565285,0,0.020672936634418982,1,0.040380687,0.16026576283360644,5867,0.2047389726409827
atlantic_station,Atlanta,Atlanta,6967,37,12,9666,469,507,1185,1303,355,3394,2453,11412,570,11451,9280,9280,8762,518,2171,9280,5514,1008,373,1306,8636,6381,909,219,97,332,698,69,8762,811,1902,6967,486,317,616,596,946,152478,208300,213940,307,-2666666664,-2666666664,-2666666664,-2666666664,-2666666664,-2666666664,1594,805,760,224,623,7908,6967,1828,1599,95,508,1544,856,1298,910,484,454,190,299,1585,3712,1570,574,168,3460,5,3327,3260,312,289,491,522,333,1313,200,13884,1577,4385,11412,473,2839,78,1452,0,667,13884,1806,12078,7829,9055,10,14,41,41,13292,279,338,1078,1164,481,6003,3949,12675,9952,15039,633,12820,2718,-5333333328,6842,803,1267,12497,7544,402,326,393,462,3370,151,941,2185,203,275,341,295,682,1390,1957,1132,1720,675965,890339,331,17877,16266,14785,1945,1611,-5333333328,9939,9055,2481,1708,171,408,1204,394,3518,357,2356,460,323,311,2456,4091,2433,407,241,5018,4963,817,572,704,602,454,1814,55,17938,1713,6582,192,2838,15100,1114,6158,38,1107,181,714,1020,9886,0,0,0,514,514,514,4342,7542,9020,4856,8056,9534,0,0,0,0,0,0,0,0,3200,1478,4678,612,3200,1478,4678,612,44,1060,58194.79297365119,9055,0.022418553285477635,0.052788515,0.090447267,0.12302595251242407,0.19834345665378245,0.3154058531198233,0.4689122032026505,0.6850358917725013,0.8100496963003865,107192.13081246807,337.8333333333333,0,3.702103140305388,31.273408239700373,34.97551138000576,0,0,0,0,23.048112935753384,33.69346009795448,23.048112935753384,33.69346009795448,0,0.028654254,0.5028431263240049,0.5314973798639759,0.20447997695188708,0.005617978,0.10458081244598098,0,0.04804091,1,0.13007778738115816,0.5638864880437914,5847,0.6049037864680322
